,Component 0,Component 1,clusters,year,abs_clean,country_code
0,2.9276335,-51.52273,4,2020,"A surface plasmon-based photodetector includes: a silicon substrate; a grating in contact with a surface of the silicon substrate, in which the grating forms a Schottky diode with the semiconductor substrate; and a complementary-metal-oxide- semiconductor (CMOS) sample and hold stage as well as an analog-to-digital circuit (ADC) in the silicon substrate and arranged to detect electrical current generated at the Schottky diode.",WO
1,46.805122,-39.936134,12,2013,"The present invention provides compositions and methods of altering/improving Durum wheat phenotypes. Furthermore, methods of breeding Durum wheat and/or other closely related species to produce plants having altered or improved phenotypes are provided.",WO
2,-9.22883,-14.65884,6,2021,"The present invention concerns a metal casting installation comprising, (a) a loading platform (20), (b) a tundish (1), (c) a first ladle (11) and a second ladle (12), each of the first and second ladle comprising, • a floor provided with an opening (11o, 12o), • a collector nozzle (14) and a ladle shroud (13a-13c), • a ladle sliding gate (15) configured for moving the collector nozzle and the ladle shroud between a sealed position wherein the opening is sealed, a casting position wherein the opening faces the ladle shroud (13a-13c), and an unclogging position wherein the opening faces the collector nozzle (14), (d) a turret (30) for holding the first and second ladles, configured for moving and holding in place the first and second ladles (11,12) between a loading station and a casting station, over the tundish (1), Characterized in that, the metal casting installation comprises a robot (21) configured for carrying out the following operations on the first or second ladle which is held in the loading station, • loading a new ladle shroud (13b) onto the ladle slide gate (15), and •coupling a driving device (17) to the ladle slide gate (15).",WO
3,-10.988297,-28.57192,6,2015,"A sports ball comprising an inner core with a plurality of nubs on its exterior surface, and an outer shell comprising two hemispheres that surround the inner core such that the plurality of nubs contact the inner surfaces of the outer shell&#39;s inner cavity. The outer core can comprise a cross-linked closed-cell foam such that the sports ball can be more durable and softer than conventional balls normally used for the same sport.",WO
4,-41.871315,69.01496,13,2014,"A method of processing received data representing speech comprises monitoring the received data to detect the presence of data representing a first portion of a trigger phrase in said received data. On detection of the data representing the first portion of the trigger phrase, a control signal is sent to activate a speech processing block. The received data is monitored to detect the presence of data representing a second portion of the trigger phrase in said received data. If the control signal to activate the speech processing block has previously been sent, then, on detection of the data representing the second portion of the trigger phrase, the activation of the speech processing block is maintained.",WO
5,-1.0397329,3.2801993,6,1999,"The invention relates to a clamping chuck in which a central seat (4) is embodied for the shank of a workpiece or tool to be clamped, and which has a clamping mechanism (6). For axially positioning the shank in the locating seat (4) a stop element (9) is provided for which can be axially adjusted by means of an adjusting device (12). The adjusting device (12) is configured as a worm gear drive comprising a worm (13) which is rotationally mounted in the chuck body (1) at right angles to the locating seat (4) and a worm gear (14) which is mounted coaxially in relation to the locating seat (4).",WO
6,45.06764,-45.42242,12,2000,"The present invention provides vaccines and methods for making the vaccines that actively or passively protect a human or animal against Chlamydia infection. In particular, the present invention provides a vaccine that provides active immunity which comprises a polypeptide or DNA vaccine that contains or expresses at least one epitope of polypeptide that has an amino acid sequence that is substantially similar to an amino acid sequence of a polypeptide encoded by open reading frame CT863 of Chlamydia trachomatis. The present invention further provides a vaccine that provides passive immunity to Chlamydia comprising polyclonal or monoclonal antibodies against at least one epitope of a polypeptide encoded by open reading frame CT863 of Chlamydia trachomatis. Further still, the present invention provides a method for preventing an inflammatory reaction, in particular, in a skin graft, by providing a polypeptide that is substantially similar to a polypeptide encoded by open reading frame CT863 of Chlamydia trachomatis.",WO
7,16.557505,2.8483057,6,2017,"Aspects of the present invention relate to systems and processes for obtaining desired mercaptans or thiophenes from a feed stream containing a mixture of mercaptans, thiophenes and other components. In one aspect of the invention, a system for separating one or more components from a feed stream of mixed mercaptans includes one or more distillation columns in connection with a feed stream containing mercaptans, the distillation column having a rectification section, a stripping section, and a feed side section separated from a side draw section by a dividing wall that extends from the rectification section to the stripping section. The distillation column further being in connection with a condenser and a reboiler; and a distillate stream, a side drawn stream, and a bottoms stream.",WO
8,31.169765,43.84241,10,2016,"A system is provided for heat recovery from shower greywater. An outlet for greywater is connected to a heat exchanger&#39;s inlet for greywater and the heat exchanger is designed so that a cold supply water flows in the opposite direction through the heat exchanger relative to the relatively hot greywater, so that heat exchange works under a counterflow principle and heat energy is transferred from the hot greywater to the cold supply water. A manifold having a nozzle outlet for hot supply water is connected to a waste pipe so that the manifold nozzle outlet for hot supply water opens into the waste pipe at a position downstream of the waste pipe inlet for greywater but upstream of the waste pipe outlet for greywater.",US
9,2.506662,38.611275,1,2018,"The present invention pertains to a device for calculating a matching score that can be used for employment, deployment, and evaluation of human resources. The purpose of the present invention is to calculate a matching score with high accuracy by a simple process while a relationship between items is taken into consideration. In the present invention, a matching dictionary having a tree structure is stored. In the matching dictionary, dictionary nodes required for human resources are registered as desirable nodes 84. A technical tree 80 is generated by applying the desirable nodes 84 to the tree structure. In the matching dictionary, dictionary nodes held by a target human resource are registered as holding nodes 86. A skill tree 82 is generated by applying the holding nodes 86 to the tree structure. A matching score is calculated on the basis of whether or not the desirable nodes 84 included in the technical tree 80 match with the holding nodes 86 included in the skill tree 82 and whether or not a relationship between both two trees is recognized in the tree structure.",WO
